first.seqnames	first.start	first.end	first.width	first.strand	second.seqnames	second.start	second.end	second.width	second.strand
Scaffold10	4624	4691	68	*	Scaffold1224	408203	408270	68	*
Scaffold10	3574	3624	51	*	Scaffold1224	407124	407174	51	*
Scaffold10	10840	10897	58	*	Scaffold1224	413919	413976	58	*
Scaffold10	9939	10023	85	*	Scaffold1224	412991	413075	85	*
Scaffold10	8733	8803	71	*	Scaffold1224	412338	412408	71	*
Scaffold10	2792	2883	92	*	Scaffold1224	406308	406399	92	*
Scaffold10	33782	33851	70	*	Scaffold26	221453	221522	70	*
Scaffold10	17087	17186	100	*	Scaffold26	203543	203642	100	*
Scaffold10	16674	16752	79	*	Scaffold26	203125	203203	79	*
Scaffold10	27300	27355	56	*	Scaffold26	213937	213992	56	*
Scaffold10	32534	32590	57	*	Scaffold26	219523	219579	57	*
Scaffold10	41450	41514	65	*	Scaffold26	227301	227365	65	*
Scaffold10	44514	44574	61	*	Scaffold26	230090	230150	61	*
Scaffold10	20978	21032	55	*	Scaffold26	207332	207386	55	*
Scaffold10	9939	10023	85	*	Scaffold26	196997	197081	85	*
Scaffold10	34738	34827	90	*	Scaffold26	222677	222766	90	*
Scaffold10	16412	16506	95	*	Scaffold26	202864	202958	95	*
Scaffold10	16509	16623	115	*	Scaffold26	202961	203075	115	*
Scaffold10	39677	39743	67	*	Scaffold26	226054	226121	68	*
Scaffold10	30153	30202	50	*	Scaffold26	217148	217197	50	*
Scaffold10	21100	21156	57	*	Scaffold26	207456	207512	57	*
Scaffold10	15643	15719	77	*	Scaffold26	202057	202133	77	*
Scaffold10	8733	8803	71	*	Scaffold26	195715	195785	71	*
Scaffold10	34841	34915	75	*	Scaffold26	222779	222852	74	*
Scaffold10	44800	44864	65	*	Scaffold26	230381	230445	65	*
Scaffold10	31972	32021	50	*	Scaffold26	218950	218999	50	*
Scaffold10	32391	32494	104	*	Scaffold26	219379	219482	104	*
Scaffold10	32285	32367	83	*	Scaffold26	219273	219355	83	*
Scaffold10	10840	10897	58	*	Scaffold26	197879	197936	58	*
Scaffold10	32030	32090	61	*	Scaffold26	219008	219068	61	*
Scaffold10	44456	44511	56	*	Scaffold26	230032	230087	56	*
Scaffold10	19794	19869	76	*	Scaffold26	205982	206057	76	*
Scaffold10	63294	63361	68	*	Scaffold29	3737	3804	68	*
Scaffold10	55058	55107	50	*	Scaffold29	7554	7603	50	*
Scaffold10	63610	63685	76	*	Scaffold29	4062	4138	77	*
Scaffold10	53856	53916	61	*	Scaffold29	6385	6445	61	*
