# Sp-Alx1 ChIP-seq peaks generated by MACS2. Column 1: Peak location in the S. purpuratus genome (version 3.1) scaffold. Column 2: Peak start coordinate. Column 3: Peak end coordinate. Column 4: Length of peak region. Column 5: Absolute peak summit position. Column 6: Pileup height at peak summit. Column 7: -log10(p-value) for peak summit. Column 8: Fold enrichment for peak summit against random Poisson distribution with local lambda. Column 9: -log10(q-value) at peak summit. Column 10: Designated name for peak.,,,,,,,,,
# This file is generated by MACS version 2.1.2,,,,,,,,,
# Command line: callpeak -t Alx1FTC9M10align1filtered.bam -c MockFTC9M10align1filtered.bam -f BAM -g 8e+8 -m 5 50 -p 0.005 -n Alx1FTC9M10_5_50_p005,,,,,,,,,
# ARGUMENTS LIST:,,,,,,,,,
# name = Alx1FTC9M10_5_50_p005,,,,,,,,,
# format = BAM,,,,,,,,,
# ChIP-seq file = ['Alx1FTC9M10align1filtered.bam'],,,,,,,,,
# control file = ['MockFTC9M10align1filtered.bam'],,,,,,,,,
# effective genome size = 8.00e+08,,,,,,,,,
# band width = 300,,,,,,,,,
"# model fold = [5, 50]",,,,,,,,,
# pvalue cutoff = 5.00e-03,,,,,,,,,
# qvalue will not be calculated and reported as -1 in the final output.,,,,,,,,,
# The maximum gap between significant sites is assigned as the read length/tag size.,,,,,,,,,
"# The minimum length of peaks is assigned as the predicted fragment length ""d"".",,,,,,,,,
# Larger dataset will be scaled towards smaller dataset.,,,,,,,,,
# Range for calculating regional lambda is: 1000 bps and 10000 bps,,,,,,,,,
# Broad region calling is off,,,,,,,,,
# Paired-End mode is off,,,,,,,,,
,,,,,,,,,
# tag size is determined as 40 bps,,,,,,,,,
# total tags in treatment: 8845688,,,,,,,,,
# tags after filtering in treatment: 8445844,,,,,,,,,
# maximum duplicate tags at the same position in treatment = 1,,,,,,,,,
# Redundant rate in treatment: 0.05,,,,,,,,,
# total tags in control: 8302716,,,,,,,,,
# tags after filtering in control: 7398233,,,,,,,,,
# maximum duplicate tags at the same position in control = 1,,,,,,,,,
# Redundant rate in control: 0.11,,,,,,,,,
# d = 190,,,,,,,,,
# alternative fragment length(s) may be 190 bps,,,,,,,,,
chr,start,end,length,abs_summit,pileup,-LOG10(pvalue),fold_enrichment,-LOG10(qvalue),name
Scaffold1,315153,315386,234,315333,10.51,3.53412,2.87788,0.49244,Alx1FTC9M10_5_50_p005_peak_1
Scaffold1,356526,356746,221,356636,7.88,2.9599,2.96122,0.16061,Alx1FTC9M10_5_50_p005_peak_2
Scaffold1,481474,481717,244,481585,28.03,9.36461,3.62885,5.16377,Alx1FTC9M10_5_50_p005_peak_3
Scaffold1,586498,586695,198,586559,7.88,3.31828,3.22212,0.34448,Alx1FTC9M10_5_50_p005_peak_4
